index,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,cluster,distance
15834,0.97,['Deep Sleep Music Collective'],0.0834,118387,0.00109,0,4K6OlCO3WbxsMr0h7U8nlY,0.836,8,0.115,-37.547,1,Soft Piano,61,11/7/2016,0.0463,84.354,0.0386,2016,0,30.00799769568314
15739,0.995,['Binaural Beats Sleep'],0.39299999999999996,122723,0.00105,0,63SvuIM9L3ONAcYS2ODUoN,0.9390000000000001,4,0.107,-43.013000000000005,1,Binaural Beats (Restful Sleep),58,11/29/2016,0.11199999999999999,72.028,0.0392,2016,0,30.633104921939033
125835,0.11599999999999999,['Rain Sound Studio'],0.0,152411,0.7120000000000001,0,50N6EPhnmazJFkWvzqynhb,0.998,1,0.768,-13.466,1,Downpoar,69,1/9/2017,0.0,0.0,0.0,2017,0,67.5352754405135
116623,0.862,['Bruce Brus'],0.0,168000,0.00043099999999999996,0,3AFEx7f9qxc6U59s27Tp1V,0.977,0,0.162,-14.105,0,White Noise Crashing Waves,76,8/9/2019,0.0,0.0,0.0,2019,0,67.53744336061136
15864,1.17e-06,['Rain Sounds Factory STHLM'],0.0,170614,3.2200000000000003e-05,0,7IYxWrs94jceRhxJJKDEJe,0.9740000000000001,1,0.45899999999999996,-13.9,1,Rain Sound : Sunday Dreaming,63,4/21/2017,0.0,0.0,0.0,2017,0,67.53936155167507
143939,0.11599999999999999,['Chill Bees'],0.0,164336,0.46799999999999997,0,5TpEtiKGAljXxtjcBqIfIc,0.991,11,0.595,-14.43,0,Rain at Dawn,67,5/5/2017,0.0,0.0,0.0,2017,0,67.54996268685888
161194,0.106,['Rain Sounds ACE'],0.0,164452,0.654,0,5aVTpbRU7DM9GfCNydb9MR,1.0,3,0.8590000000000001,-14.77,0,Rain in the Park,64,5/5/2017,0.0,0.0,0.0,2017,0,67.56283044697007
125716,0.00119,['The White Noise Zen & Meditation Sound Lab'],0.0,148000,0.342,0,5X8Hut4pmjxDUd8bYfFqjb,1.0,9,0.392,-14.959000000000001,0,Calm Rain Storm & Gentle White Noise,66,2/11/2016,0.0,0.0,0.0,2016,0,67.56530650831183
135129,0.0,"['Brown Noise for Babies', 'White Noise for Deeper Sleep', 'Appliances for Meditation']",0.0,73887,2.01e-05,0,3qdGhfS5yIyqXMNtmJov6o,0.0,5,0.0,-15.776,1,Brown Noise,60,4/18/2016,0.0,0.0,0.0,2016,0,67.58980041592837
125909,0.11599999999999999,['Forest FX'],0.0,184460,0.45299999999999996,0,3vU3NSAS9uxSg4gLbNLViL,0.922,9,0.503,-16.773,0,Camping Rain,68,5/5/2017,0.0,0.0,0.0,2017,0,67.64777113686766
169743,1.3300000000000001e-05,['Naturaleza FX'],0.0,150879,2.02e-05,0,4UFlnhDTGyKvlhOQziDHkG,0.20800000000000002,1,0.311,-16.873,1,Colors of the Rain,68,10/10/2019,0.0,0.0,0.0,2019,0,67.6487517893539
